OrderDate,Year,Month,Region,SubCategory,Product,Price,Quantity,Sales
15/01/2017,2017,January,South,Bookcases,Smartphone,76,85,5194
13/03/2017,2017,March,South,Chairs,Laptop,8,55,1800
03/08/2017,2017,August,West,Labels,Tablet,72,32,1634
17/12/2017,2017,December,West,Binders,Smartwatch,67,17,2550
14/06/2017,2017,June,Central,Art,Television,42,37,5
17/01/2017,2017,January,Central,Appliances,Digital Camera,60,59,3636
02/06/2017,2017,June,West,Binders,Bluetooth Speaker,12,38,270
25/04/2017,2017,April,West,Accessories,Gaming Console,80,23,5037
02/10/2017,2017,October,Central,Phones,E-reader,39,15,80
28/09/2017,2017,September,Central,Furnishings,Wireless Earbuds,37,104,3510
30/01/2017,2017,January,West,Storage,Laptop,40,85,2280
27/08/2017,2017,August,Central,Accessories,Tablet,72,29,2478
06/08/2017,2017,August,Central,Binders,Smartwatch,47,13,4760
08/08/2017,2017,August,East,Accessories,Television,3,105,480
04/01/2017,2017,January,East,Phones,Digital Camera,101,40,1475
16/10/2017,2017,October,East,Fasteners,Bluetooth Speaker,9,84,782
05/06/2017,2017,June,East,Phones,Gaming Console,20,25,1392
16/04/2017,2017,April,East,Storage,Smartphone,87,13,2170
07/01/2017,2017,January,East,Paper,Laptop,34,98,7568
11/11/2017,2017,November,East,Chairs,Tablet,4,75,741
30/01/2017,2017,January,East,Paper,Smartwatch,77,74,6864
09/06/2017,2017,June,East,Accessories,Television,62,43,204
14/06/2017,2017,June,East,Binders,Digital Camera,61,76,1680
31/10/2017,2017,October,East,Art,Bluetooth Speaker,21,69,10300
13/04/2017,2017,April,South,Paper,Gaming Console,61,43,4100
28/07/2017,2017,July,East,Binders,E-reader,88,45,5874
17/04/2017,2017,April,South,Appliances,Wireless Earbuds,64,62,343
24/04/2017,2017,April,South,Binders,Laptop,21,21,350
09/06/2017,2017,June,Central,Storage,Tablet,64,34,4968
03/03/2017,2017,March,West,Art,Smartwatch,10,43,3248
08/08/2017,2017,August,West,Phones,Television,65,39,2450
11/02/2017,2017,February,West,Paper,Digital Camera,25,65,1785
01/02/2017,2017,February,Central,Appliances,Bluetooth Speaker,74,80,2331
10/06/2017,2017,June,Central,Paper,Gaming Console,55,38,1647
15/12/2017,2017,December,Central,Accessories,Smartphone,11,11,2360
30/10/2017,2017,October,Central,Binders,Laptop,70,99,4850
10/11/2017,2017,November,Central,Paper,Tablet,65,5,231
13/02/2017,2017,February,Central,Art,Smartwatch,95,58,1360
29/08/2017,2017,August,Central,Binders,Television,100,103,580
16/08/2017,2017,August,East,Furnishings,Digital Camera,36,28,2093
23/01/2017,2017,January,East,Binders,Bluetooth Speaker,48,63,2100
28/10/2017,2017,October,East,Storage,Gaming Console,53,91,833
16/10/2017,2017,October,East,Envelopes,E-reader,37,96,1760
16/04/2017,2017,April,East,Phones,Wireless Earbuds,13,34,3780
16/06/2017,2017,June,West,Chairs,Laptop,40,12,1044
06/06/2017,2017,June,West,Furnishings,Tablet,49,105,3735
30/11/2017,2017,November,West,Paper,Smartwatch,1,88,1102
20/10/2017,2017,October,West,Paper,Television,48,12,115
23/12/2017,2017,December,West,Art,Digital Camera,66,95,2150
