OrderDate,Year,Month,Region,SubCategory,Product,Price,Quantity,Sales
05/12/2024,2024,December,South,Bookcases,Smartphone,14,31,434
17/01/2024,2024,January,South,Chairs,Laptop,23,20,460
01/04/2024,2024,April,West,Labels,Tablet,25,40,1000
04/05/2024,2024,May,West,Binders,Smartwatch,8,37,296
14/04/2024,2024,April,Central,Art,Television,27,38,1026
09/08/2024,2024,August,Central,Appliances,Digital Camera,14,2,28
04/04/2024,2024,April,West,Binders,Bluetooth Speaker,16,16,256
07/11/2024,2024,November,West,Accessories,Gaming Console,11,39,429
05/09/2024,2024,September,Central,Phones,E-reader,1,35,35
02/02/2024,2024,February,Central,Furnishings,Wireless Earbuds,40,39,1560
20/12/2024,2024,December,West,Storage,Laptop,28,16,448
14/12/2024,2024,December,Central,Accessories,Tablet,28,35,980
06/10/2024,2024,October,Central,Binders,Smartwatch,25,12,300
26/09/2024,2024,September,East,Accessories,Television,34,15,510
08/07/2024,2024,July,East,Phones,Digital Camera,36,20,720
22/03/2024,2024,March,East,Fasteners,Bluetooth Speaker,21,23,483
01/10/2024,2024,October,East,Phones,Gaming Console,15,29,435
06/11/2024,2024,November,East,Storage,Smartphone,25,4,100
09/08/2024,2024,August,East,Paper,Laptop,1,37,37
01/07/2024,2024,July,East,Chairs,Tablet,13,34,442
11/06/2024,2024,June,East,Paper,Smartwatch,7,20,140
27/07/2024,2024,July,East,Accessories,Television,38,32,1216
21/11/2024,2024,November,East,Binders,Digital Camera,16,3,48
05/05/2024,2024,May,East,Art,Bluetooth Speaker,30,11,330
18/05/2024,2024,May,South,Paper,Gaming Console,16,39,624
03/09/2024,2024,September,East,Binders,E-reader,1,27,27
15/03/2024,2024,March,South,Appliances,Wireless Earbuds,39,37,1443
22/03/2024,2024,March,South,Binders,Laptop,7,2,14
15/06/2024,2024,June,Central,Storage,Tablet,39,27,1053
02/08/2024,2024,August,West,Art,Smartwatch,39,21,819
14/08/2024,2024,August,West,Phones,Television,6,5,30
22/10/2024,2024,October,West,Paper,Digital Camera,5,32,160
19/05/2024,2024,May,Central,Appliances,Bluetooth Speaker,22,40,880
06/02/2024,2024,February,Central,Paper,Gaming Console,28,21,588
19/03/2024,2024,March,Central,Accessories,Smartphone,27,18,486
03/08/2024,2024,August,Central,Binders,Laptop,32,6,192
29/03/2024,2024,March,Central,Paper,Tablet,22,28,616
13/08/2024,2024,August,Central,Art,Smartwatch,16,29,464
08/08/2024,2024,August,Central,Binders,Television,3,2,6
04/02/2024,2024,February,East,Furnishings,Digital Camera,29,20,580
17/02/2024,2024,February,East,Binders,Bluetooth Speaker,30,30,900
10/10/2024,2024,October,East,Storage,Gaming Console,31,7,217
15/09/2024,2024,September,East,Envelopes,E-reader,35,9,315
24/12/2024,2024,December,East,Phones,Wireless Earbuds,39,20,780
09/09/2024,2024,September,West,Chairs,Laptop,35,15,525
29/06/2024,2024,June,West,Furnishings,Tablet,29,25,725
03/03/2024,2024,March,West,Paper,Smartwatch,17,21,357
06/05/2024,2024,May,West,Paper,Television,35,34,1190
10/01/2024,2024,January,West,Art,Digital Camera,40,9,360
